Provincia,Partido,Localidad,Tecnologia,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,ADSL,755.0
BUENOS AIRES,25 de Mayo,25 de Mayo,CABLEMODEM,4.6
BUENOS AIRES,25 de Mayo,25 de Mayo,FIBRA OPTICA,2.0
BUENOS AIRES,25 de Mayo,25 de Mayo,SATELITAL,742.0
BUENOS AIRES,25 de Mayo,25 de Mayo,WIRELESS,727.0
BUENOS AIRES,25 de Mayo,Del Valle,ADSL,181.0
BUENOS AIRES,25 de Mayo,Del Valle,OTROS,10.0
BUENOS AIRES,25 de Mayo,Del Valle,SATELITAL,1.0
BUENOS AIRES,25 de Mayo,Ernestina,ADSL,75.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,WIRELESS,181.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,WIRELESS,6.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,CABLEMODEM,782.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,496.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,OTROS,16.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,WIRELESS,185.0
BUENOS AIRES,25 de Mayo,Pedernales,ADSL,154.0
BUENOS AIRES,25 de Mayo,Pedernales,FIBRA OPTICA,25.0
BUENOS AIRES,25 de Mayo,Pedernales,OTROS,21.0
BUENOS AIRES,25 de Mayo,Pedernales,WIRELESS,7.0
BUENOS AIRES,9 de Julio,12 de Octubre,WIRELESS,19.0
BUENOS AIRES,9 de Julio,9 de Julio,ADSL,4.241
BUENOS AIRES,9 de Julio,9 de Julio,CABLEMODEM,3.463
BUENOS AIRES,9 de Julio,9 de Julio,DIAL UP,80.0
BUENOS AIRES,9 de Julio,9 de Julio,FIBRA OPTICA,6.238
BUENOS AIRES,9 de Julio,9 de Julio,WIRELESS,831.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),ADSL,450.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),OTROS,60.0
BUENOS AIRES,9 de Julio,Dudignac,WIRELESS,474.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),ADSL,193.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),FIBRA OPTICA,2.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),OTROS,2.0
BUENOS AIRES,9 de Julio,Morea,WIRELESS,130.0
BUENOS AIRES,9 de Julio,Patricios,ADSL,81.0
BUENOS AIRES,9 de Julio,Patricios,WIRELESS,50.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),FIBRA OPTICA,118.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),WIRELESS,42.0
BUENOS AIRES,Adolfo Alsina,Carhué,ADSL,766.0
BUENOS AIRES,Adolfo Alsina,Carhué,DIAL UP,1.0
BUENOS AIRES,Adolfo Alsina,Carhué,FIBRA OPTICA,1.417
BUENOS AIRES,Adolfo Alsina,Carhué,OTROS,1.0
BUENOS AIRES,Adolfo Alsina,Carhué,WIRELESS,1.073
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,FIBRA OPTICA,208.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,FIBRA OPTICA,60.0
BUENOS AIRES,Adolfo Alsina,Maza,FIBRA OPTICA,390.0
BUENOS AIRES,Adolfo Alsina,Maza,SATELITAL,2.0
BUENOS AIRES,Adolfo Alsina,Maza,WIRELESS,14.0
BUENOS AIRES,Adolfo Alsina,Rivera,FIBRA OPTICA,1.309
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),ADSL,464.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),DIAL UP,2.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),FIBRA OPTICA,943.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),WIRELESS,690.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,FIBRA OPTICA,654.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,OTROS,6.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,WIRELESS,57.0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,WIRELESS,46.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,WIRELESS,14.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),ADSL,335.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),DIAL UP,6.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),FIBRA OPTICA,1.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),WIRELESS,2.0
BUENOS AIRES,Alberti,Coronel Seguí,WIRELESS,5.0
BUENOS AIRES,Alberti,Mechita,ADSL,285.0
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),WIRELESS,24.0
BUENOS AIRES,Almirante Brown,Adrogué,ADSL,86.0
BUENOS AIRES,Almirante Brown,Adrogué,CABLEMODEM,9.19
BUENOS AIRES,Almirante Brown,Adrogué,DIAL UP,53.0
BUENOS AIRES,Almirante Brown,Adrogué,FIBRA OPTICA,12.086
BUENOS AIRES,Almirante Brown,Adrogué,OTROS,2.0
BUENOS AIRES,Almirante Brown,Adrogué,SATELITAL,1.0
BUENOS AIRES,Almirante Brown,Adrogué,WIRELESS,26.0
BUENOS AIRES,Almirante Brown,Burzaco,ADSL,39.0
BUENOS AIRES,Almirante Brown,Burzaco,CABLEMODEM,15.962
BUENOS AIRES,Almirante Brown,Burzaco,DIAL UP,35.0
BUENOS AIRES,Almirante Brown,Burzaco,FIBRA OPTICA,12.081
BUENOS AIRES,Almirante Brown,Burzaco,OTROS,6.0
BUENOS AIRES,Almirante Brown,Burzaco,SATELITAL,2.0
BUENOS AIRES,Almirante Brown,Burzaco,WIRELESS,309.0
BUENOS AIRES,Almirante Brown,Claypole,ADSL,4.0
BUENOS AIRES,Almirante Brown,Claypole,CABLEMODEM,7.379
BUENOS AIRES,Almirante Brown,Claypole,DIAL UP,3.0
BUENOS AIRES,Almirante Brown,Claypole,FIBRA OPTICA,3.987
BUENOS AIRES,Almirante Brown,Claypole,OTROS,13.0
BUENOS AIRES,Almirante Brown,Claypole,WIRELESS,2.0
BUENOS AIRES,Almirante Brown,Don Orione,CABLEMODEM,5.391
BUENOS AIRES,Almirante Brown,Don Orione,WIRELESS,1.0
BUENOS AIRES,Almirante Brown,Glew,ADSL,11.0
BUENOS AIRES,Almirante Brown,Glew,CABLEMODEM,8.794
BUENOS AIRES,Almirante Brown,Glew,DIAL UP,10.0
BUENOS AIRES,Almirante Brown,Glew,FIBRA OPTICA,12.012
BUENOS AIRES,Almirante Brown,Glew,OTROS,12.0
BUENOS AIRES,Almirante Brown,Glew,WIRELESS,54.0
BUENOS AIRES,Almirante Brown,Jose Mármol,CABLEMODEM,7.243
BUENOS AIRES,Almirante Brown,Jose Mármol,DIAL UP,1.0
BUENOS AIRES,Almirante Brown,Jose Mármol,FIBRA OPTICA,1.605
BUENOS AIRES,Almirante Brown,Jose Mármol,OTROS,2.0
BUENOS AIRES,Almirante Brown,Jose Mármol,WIRELESS,1.0
BUENOS AIRES,Almirante Brown,Longchamps,ADSL,16.0
BUENOS AIRES,Almirante Brown,Longchamps,CABLEMODEM,8.913
BUENOS AIRES,Almirante Brown,Longchamps,DIAL UP,20.0
BUENOS AIRES,Almirante Brown,Longchamps,FIBRA OPTICA,8.223
BUENOS AIRES,Almirante Brown,Longchamps,OTROS,4.0
BUENOS AIRES,Almirante Brown,Longchamps,WIRELESS,1.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,ADSL,1.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,CABLEMODEM,4.501
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,DIAL UP,3.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,FIBRA OPTICA,787.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,OTROS,2.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,WIRELESS,1.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,ADSL,3.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,CABLEMODEM,3.544
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,DIAL UP,4.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,FIBRA OPTICA,4.309
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,WIRELESS,1.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,ADSL,9.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,CABLEMODEM,10.634
BUENOS AIRES,Almirante Brown,Rafael Calzada,DIAL UP,14.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,FIBRA OPTICA,10.091
BUENOS AIRES,Almirante Brown,Rafael Calzada,OTROS,178.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,WIRELESS,340.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,ADSL,3.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,CABLEMODEM,4.227
BUENOS AIRES,Almirante Brown,San Francisco Solano,DIAL UP,4.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,FIBRA OPTICA,4.746
BUENOS AIRES,Almirante Brown,San Francisco Solano,OTROS,127.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,WIRELESS,2.0
BUENOS AIRES,Almirante Brown,San Jose,ADSL,2.0
BUENOS AIRES,Almirante Brown,San Jose,CABLEMODEM,8.599
BUENOS AIRES,Almirante Brown,San Jose,DIAL UP,1.0
BUENOS AIRES,Almirante Brown,San Jose,FIBRA OPTICA,1.166
BUENOS AIRES,Almirante Brown,San Jose,SATELITAL,3.0
BUENOS AIRES,Almirante Brown,San Jose,WIRELESS,1.0
BUENOS AIRES,AMBA,Otros,CABLEMODEM,0.0
BUENOS AIRES,AMBA,Otros,OTROS,0.0
BUENOS AIRES,AMBA,Otros,WIRELESS,13.0
BUENOS AIRES,Arrecifes,Arrecifes,ADSL,773.0
BUENOS AIRES,Arrecifes,Arrecifes,CABLEMODEM,1.294
BUENOS AIRES,Arrecifes,Arrecifes,DIAL UP,12.0
BUENOS AIRES,Arrecifes,Arrecifes,FIBRA OPTICA,6.902
