Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Fecha,ADSL_Change,Cablemodem_Change,Fibra_Change,Total_Accesos,Penetracion_Fibra
Buenos Aires,2014,1,1567685,1000879,120960,2014-01-01,,,,2689524,0.04497450106412882
Buenos Aires,2014,2,1568881,1025490,120008,2014-04-01,1196.0,24611.0,-952.0,2714379,0.04421195418915339
Buenos Aires,2014,3,1562533,1110628,124474,2014-07-01,-6348.0,85138.0,4466.0,2797635,0.044492580340180186
Buenos Aires,2014,4,1575978,1070135,120528,2014-10-01,13445.0,-40493.0,-3946.0,2766641,0.04356474150422841
Buenos Aires,2015,1,1583135,1096836,134177,2015-01-01,7157.0,26701.0,13649.0,2814148,0.047679439745173316
Buenos Aires,2015,2,1581770,1141052,115660,2015-04-01,-1365.0,44216.0,-18517.0,2838482,0.04074713174154354
Buenos Aires,2015,3,1585467,1183894,113590,2015-07-01,3697.0,42842.0,-2070.0,2882951,0.03940060028769133
Buenos Aires,2015,4,1586343,1223603,103269,2015-10-01,876.0,39709.0,-10321.0,2913215,0.0354484650120228
Buenos Aires,2016,1,1583560,1200859,111231,2016-01-01,-2783.0,-22744.0,7962.0,2895650,0.03841313694679951
Buenos Aires,2016,2,1579448,1305949,113070,2016-04-01,-4112.0,105090.0,1839.0,2998467,0.037709269436682145
Buenos Aires,2016,3,1574216,1355770,113463,2016-07-01,-5232.0,49821.0,393.0,3043449,0.037281058430747485
Buenos Aires,2016,4,1563542,1414676,118747,2016-10-01,-10674.0,58906.0,5284.0,3096965,0.03834302292728526
Buenos Aires,2017,1,1559178,1465817,118839,2017-01-01,-4364.0,51141.0,92.0,3143834,0.03780065995850926
Buenos Aires,2017,2,1378549,1535037,119132,2017-04-01,-180629.0,69220.0,293.0,3032718,0.039282254400178324
Buenos Aires,2017,3,1288025,1571180,124920,2017-07-01,-90524.0,36143.0,5788.0,2984125,0.04186151719515771
Buenos Aires,2017,4,1241172,1718013,131181,2017-10-01,-46853.0,146833.0,6261.0,3090366,0.04244837019304509
Buenos Aires,2018,1,1452061,1793884,133928,2018-01-01,210889.0,75871.0,2747.0,3379873,0.03962515751331485
Buenos Aires,2018,2,1450203,1807868,143626,2018-04-01,-1858.0,13984.0,9698.0,3401697,0.042221867497310904
Buenos Aires,2018,3,1435856,1929273,156382,2018-07-01,-14347.0,121405.0,12756.0,3521511,0.044407642060467795
Buenos Aires,2018,4,1305576,1949637,296102,2018-10-01,-130280.0,20364.0,139720.0,3551315,0.08337812894660147
