Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,ADSL,6854100,755 
BUENOS AIRES,25 de Mayo,25 de Mayo,CABLEMODEM,6854100,"4,600 "
BUENOS AIRES,25 de Mayo,25 de Mayo,FIBRA OPTICA,6854100,2 
BUENOS AIRES,25 de Mayo,25 de Mayo,SATELITAL,6854100,742 
BUENOS AIRES,25 de Mayo,25 de Mayo,WIRELESS,6854100,727 
BUENOS AIRES,25 de Mayo,Del Valle,ADSL,6854020,181 
BUENOS AIRES,25 de Mayo,Del Valle,Otros,6854020,10 
BUENOS AIRES,25 de Mayo,Del Valle,SATELITAL,6854020,1 
BUENOS AIRES,25 de Mayo,Ernestina,ADSL,6854030,75 
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,WIRELESS,6854040,181 
BUENOS AIRES,25 de Mayo,Lucas Monteverde,WIRELESS,6854050,6 
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,CABLEMODEM,6854060,782 
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,6854060,496 
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,Otros,6854060,16 
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,WIRELESS,6854060,185 
BUENOS AIRES,25 de Mayo,Pedernales,ADSL,6854070,154 
BUENOS AIRES,25 de Mayo,Pedernales,FIBRA OPTICA,6854070,25 
BUENOS AIRES,25 de Mayo,Pedernales,Otros,6854070,21 
BUENOS AIRES,25 de Mayo,Pedernales,WIRELESS,6854070,7 
BUENOS AIRES,9 de Julio,12 de Octubre,WIRELESS,6588030,19 
BUENOS AIRES,9 de Julio,9 de Julio,ADSL,6588100,"4,241 "
BUENOS AIRES,9 de Julio,9 de Julio,CABLEMODEM,6588100,"3,463 "
BUENOS AIRES,9 de Julio,9 de Julio,DIAL UP,6588100,80 
BUENOS AIRES,9 de Julio,9 de Julio,FIBRA OPTICA,6588100,"6,238 "
BUENOS AIRES,9 de Julio,9 de Julio,WIRELESS,6588100,831 
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),ADSL,6588010,450 
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),Otros,6588010,60 
BUENOS AIRES,9 de Julio,Dudignac,WIRELESS,6588040,474 
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),ADSL,6588060,193 
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),FIBRA OPTICA,6588060,2 
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),Otros,6588060,2 
BUENOS AIRES,9 de Julio,Morea,WIRELESS,6588080,130 
BUENOS AIRES,9 de Julio,Patricios,ADSL,6588110,81 
BUENOS AIRES,9 de Julio,Patricios,WIRELESS,6588110,50 
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),FIBRA OPTICA,6588120,118 
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),WIRELESS,6588120,42 
BUENOS AIRES,Adolfo Alsina,Carhué,ADSL,6007010,766 
BUENOS AIRES,Adolfo Alsina,Carhué,DIAL UP,6007010,1 
BUENOS AIRES,Adolfo Alsina,Carhué,FIBRA OPTICA,6007010,"1,417 "
BUENOS AIRES,Adolfo Alsina,Carhué,Otros,6007010,1 
BUENOS AIRES,Adolfo Alsina,Carhué,WIRELESS,6007010,"1,073 "
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,FIBRA OPTICA,6007020,208 
