Año,Trimestre,Provincia,Accesos por cada 100 hogares,Categoría,Fecha
2024,2, Buenos Aires ,79.84,Alta penetración,2024-02-01
2024,2, Capital Federal ,116.37,Alta penetración,2024-02-01
2024,2, Catamarca ,68.81,Alta penetración,2024-02-01
2024,2, Chaco ,44.06,Baja penetración,2024-02-01
2024,2, Chubut ,86.33,Alta penetración,2024-02-01
2024,2, Córdoba ,90.79,Alta penetración,2024-02-01
2024,2, Corrientes ,51.38,Alta penetración,2024-02-01
2024,2, Entre Ríos ,68.64,Alta penetración,2024-02-01
2024,2, Formosa ,39.69,Baja penetración,2024-02-01
2024,2, Jujuy ,58.3,Alta penetración,2024-02-01
2024,2, La Pampa ,101.17,Alta penetración,2024-02-01
2024,2, La Rioja ,79.52,Alta penetración,2024-02-01
2024,2, Mendoza ,52.3,Alta penetración,2024-02-01
2024,2, Misiones ,57.73,Alta penetración,2024-02-01
2024,2, Neuquén ,78.93,Alta penetración,2024-02-01
2024,2, Río Negro ,71.35,Alta penetración,2024-02-01
2024,2, Salta ,55.72,Alta penetración,2024-02-01
2024,2, San Juan ,51.17,Alta penetración,2024-02-01
2024,2, San Luis ,103.4,Alta penetración,2024-02-01
2024,2, Santa Cruz ,69.92,Alta penetración,2024-02-01
2024,2, Santa Fe ,81.34,Alta penetración,2024-02-01
2024,2, Santiago Del Estero ,49.67,Baja penetración,2024-02-01
2024,2, Tierra Del Fuego ,108.89,Alta penetración,2024-02-01
2024,2, Tucumán ,60.84,Alta penetración,2024-02-01
2024,1, Buenos Aires ,81.1,Alta penetración,2024-01-01
2024,1, Capital Federal ,119.53,Alta penetración,2024-01-01
2024,1, Catamarca ,68.82,Alta penetración,2024-01-01
2024,1, Chaco ,46.7,Baja penetración,2024-01-01
2024,1, Chubut ,84.89,Alta penetración,2024-01-01
2024,1, Córdoba ,90.7,Alta penetración,2024-01-01
2024,1, Corrientes ,51.94,Alta penetración,2024-01-01
2024,1, Entre Ríos ,69.31,Alta penetración,2024-01-01
2024,1, Formosa ,39.61,Baja penetración,2024-01-01
2024,1, Jujuy ,57.65,Alta penetración,2024-01-01
2024,1, La Pampa ,100.49,Alta penetración,2024-01-01
2024,1, La Rioja ,80.03,Alta penetración,2024-01-01
2024,1, Mendoza ,52.59,Alta penetración,2024-01-01
2024,1, Misiones ,56.76,Alta penetración,2024-01-01
2024,1, Neuquén ,79.5,Alta penetración,2024-01-01
2024,1, Río Negro ,71.14,Alta penetración,2024-01-01
2024,1, Salta ,56.3,Alta penetración,2024-01-01
2024,1, San Juan ,51.62,Alta penetración,2024-01-01
2024,1, San Luis ,102.7,Alta penetración,2024-01-01
2024,1, Santa Cruz ,67.58,Alta penetración,2024-01-01
2024,1, Santa Fe ,80.4,Alta penetración,2024-01-01
2024,1, Santiago Del Estero ,49.41,Baja penetración,2024-01-01
2024,1, Tierra Del Fuego ,109.78,Alta penetración,2024-01-01
2024,1, Tucumán ,60.48,Alta penetración,2024-01-01
2023,4, Buenos Aires ,80.96,Alta penetración,2023-04-01
2023,4, Capital Federal ,117.02,Alta penetración,2023-04-01
2023,4, Catamarca ,68.63,Alta penetración,2023-04-01
2023,4, Chaco ,44.35,Baja penetración,2023-04-01
2023,4, Chubut ,84.96,Alta penetración,2023-04-01
2023,4, Córdoba ,90.67,Alta penetración,2023-04-01
2023,4, Corrientes ,52.56,Alta penetración,2023-04-01
2023,4, Entre Ríos ,69.94,Alta penetración,2023-04-01
2023,4, Formosa ,39.23,Baja penetración,2023-04-01
2023,4, Jujuy ,57.78,Alta penetración,2023-04-01
2023,4, La Pampa ,99.96,Alta penetración,2023-04-01
2023,4, La Rioja ,80.22,Alta penetración,2023-04-01
2023,4, Mendoza ,52.15,Alta penetración,2023-04-01
2023,4, Misiones ,56.27,Alta penetración,2023-04-01
2023,4, Neuquén ,79.91,Alta penetración,2023-04-01
2023,4, Río Negro ,70.26,Alta penetración,2023-04-01
2023,4, Salta ,56.98,Alta penetración,2023-04-01
2023,4, San Juan ,50.08,Baja penetración,2023-04-01
2023,4, San Luis ,102.07,Alta penetración,2023-04-01
2023,4, Santa Cruz ,73.75,Alta penetración,2023-04-01
2023,4, Santa Fe ,79.75,Alta penetración,2023-04-01
2023,4, Santiago Del Estero ,49.08,Baja penetración,2023-04-01
2023,4, Tierra Del Fuego ,110.49,Alta penetración,2023-04-01
2023,4, Tucumán ,61.04,Alta penetración,2023-04-01
2023,3, Buenos Aires ,80.64,Alta penetración,2023-03-01
2023,3, Capital Federal ,116.4,Alta penetración,2023-03-01
2023,3, Catamarca ,68.55,Alta penetración,2023-03-01
2023,3, Chaco ,42.87,Baja penetración,2023-03-01
2023,3, Chubut ,84.23,Alta penetración,2023-03-01
2023,3, Córdoba ,90.05,Alta penetración,2023-03-01
2023,3, Corrientes ,52.78,Alta penetración,2023-03-01
2023,3, Entre Ríos ,68.84,Alta penetración,2023-03-01
2023,3, Formosa ,38.86,Baja penetración,2023-03-01
2023,3, Jujuy ,57.61,Alta penetración,2023-03-01
2023,3, La Pampa ,99.0,Alta penetración,2023-03-01
2023,3, La Rioja ,80.44,Alta penetración,2023-03-01
2023,3, Mendoza ,52.03,Alta penetración,2023-03-01
2023,3, Misiones ,55.51,Alta penetración,2023-03-01
2023,3, Neuquén ,79.97,Alta penetración,2023-03-01
2023,3, Río Negro ,68.4,Alta penetración,2023-03-01
2023,3, Salta ,57.57,Alta penetración,2023-03-01
2023,3, San Juan ,50.45,Alta penetración,2023-03-01
2023,3, San Luis ,98.55,Alta penetración,2023-03-01
2023,3, Santa Cruz ,40.89,Baja penetración,2023-03-01
2023,3, Santa Fe ,79.09,Alta penetración,2023-03-01
2023,3, Santiago Del Estero ,48.67,Baja penetración,2023-03-01
2023,3, Tierra Del Fuego ,105.95,Alta penetración,2023-03-01
2023,3, Tucumán ,61.26,Alta penetración,2023-03-01
2023,2, Buenos Aires ,79.67,Alta penetración,2023-02-01
2023,2, Capital Federal ,115.48,Alta penetración,2023-02-01
2023,2, Catamarca ,67.42,Alta penetración,2023-02-01
2023,2, Chaco ,42.87,Baja penetración,2023-02-01
2023,2, Chubut ,82.49,Alta penetración,2023-02-01
2023,2, Córdoba ,90.13,Alta penetración,2023-02-01
2023,2, Corrientes ,52.37,Alta penetración,2023-02-01
2023,2, Entre Ríos ,64.43,Alta penetración,2023-02-01
2023,2, Formosa ,38.32,Baja penetración,2023-02-01
2023,2, Jujuy ,57.78,Alta penetración,2023-02-01
2023,2, La Pampa ,98.35,Alta penetración,2023-02-01
2023,2, La Rioja ,80.01,Alta penetración,2023-02-01
2023,2, Mendoza ,52.09,Alta penetración,2023-02-01
2023,2, Misiones ,55.18,Alta penetración,2023-02-01
2023,2, Neuquén ,78.97,Alta penetración,2023-02-01
2023,2, Río Negro ,68.56,Alta penetración,2023-02-01
2023,2, Salta ,57.48,Alta penetración,2023-02-01
2023,2, San Juan ,47.52,Baja penetración,2023-02-01
2023,2, San Luis ,93.41,Alta penetración,2023-02-01
2023,2, Santa Cruz ,41.66,Baja penetración,2023-02-01
2023,2, Santa Fe ,78.83,Alta penetración,2023-02-01
2023,2, Santiago Del Estero ,47.14,Baja penetración,2023-02-01
2023,2, Tierra Del Fuego ,106.38,Alta penetración,2023-02-01
2023,2, Tucumán ,60.75,Alta penetración,2023-02-01
2023,1, Buenos Aires ,79.0,Alta penetración,2023-01-01
2023,1, Capital Federal ,122.59,Alta penetración,2023-01-01
2023,1, Catamarca ,66.17,Alta penetración,2023-01-01
2023,1, Chaco ,43.15,Baja penetración,2023-01-01
2023,1, Chubut ,85.89,Alta penetración,2023-01-01
2023,1, Córdoba ,88.84,Alta penetración,2023-01-01
2023,1, Corrientes ,52.05,Alta penetración,2023-01-01
2023,1, Entre Ríos ,64.79,Alta penetración,2023-01-01
2023,1, Formosa ,38.79,Baja penetración,2023-01-01
2023,1, Jujuy ,58.2,Alta penetración,2023-01-01
2023,1, La Pampa ,96.55,Alta penetración,2023-01-01
2023,1, La Rioja ,79.74,Alta penetración,2023-01-01
2023,1, Mendoza ,51.4,Alta penetración,2023-01-01
2023,1, Misiones ,53.97,Alta penetración,2023-01-01
2023,1, Neuquén ,78.55,Alta penetración,2023-01-01
2023,1, Río Negro ,69.16,Alta penetración,2023-01-01
2023,1, Salta ,57.67,Alta penetración,2023-01-01
2023,1, San Juan ,49.75,Baja penetración,2023-01-01
2023,1, San Luis ,90.17,Alta penetración,2023-01-01
2023,1, Santa Cruz ,43.42,Baja penetración,2023-01-01
2023,1, Santa Fe ,78.13,Alta penetración,2023-01-01
2023,1, Santiago Del Estero ,47.55,Baja penetración,2023-01-01
2023,1, Tierra Del Fuego ,104.23,Alta penetración,2023-01-01
2023,1, Tucumán ,60.34,Alta penetración,2023-01-01
2022,4, Buenos Aires ,78.94,Alta penetración,2022-04-01
2022,4, Capital Federal ,122.73,Alta penetración,2022-04-01
2022,4, Catamarca ,65.77,Alta penetración,2022-04-01
2022,4, Chaco ,43.62,Baja penetración,2022-04-01
2022,4, Chubut ,85.57,Alta penetración,2022-04-01
2022,4, Córdoba ,89.03,Alta penetración,2022-04-01
2022,4, Corrientes ,51.64,Alta penetración,2022-04-01
2022,4, Entre Ríos ,64.01,Alta penetración,2022-04-01
2022,4, Formosa ,39.41,Baja penetración,2022-04-01
2022,4, Jujuy ,58.46,Alta penetración,2022-04-01
2022,4, La Pampa ,94.8,Alta penetración,2022-04-01
2022,4, La Rioja ,79.86,Alta penetración,2022-04-01
2022,4, Mendoza ,51.36,Alta penetración,2022-04-01
2022,4, Misiones ,52.85,Alta penetración,2022-04-01
2022,4, Neuquén ,78.67,Alta penetración,2022-04-01
2022,4, Río Negro ,68.42,Alta penetración,2022-04-01
2022,4, Salta ,57.96,Alta penetración,2022-04-01
2022,4, San Juan ,50.88,Alta penetración,2022-04-01
2022,4, San Luis ,90.27,Alta penetración,2022-04-01
2022,4, Santa Cruz ,43.53,Baja penetración,2022-04-01
2022,4, Santa Fe ,78.4,Alta penetración,2022-04-01
2022,4, Santiago Del Estero ,48.05,Baja penetración,2022-04-01
2022,4, Tierra Del Fuego ,101.44,Alta penetración,2022-04-01
2022,4, Tucumán ,61.04,Alta penetración,2022-04-01
2022,3, Buenos Aires ,78.11,Alta penetración,2022-03-01
2022,3, Capital Federal ,122.28,Alta penetración,2022-03-01
2022,3, Catamarca ,65.33,Alta penetración,2022-03-01
2022,3, Chaco ,43.86,Baja penetración,2022-03-01
2022,3, Chubut ,84.38,Alta penetración,2022-03-01
2022,3, Córdoba ,88.31,Alta penetración,2022-03-01
2022,3, Corrientes ,48.21,Baja penetración,2022-03-01
2022,3, Entre Ríos ,63.67,Alta penetración,2022-03-01
2022,3, Formosa ,43.76,Baja penetración,2022-03-01
2022,3, Jujuy ,58.91,Alta penetración,2022-03-01
2022,3, La Pampa ,96.59,Alta penetración,2022-03-01
2022,3, La Rioja ,80.66,Alta penetración,2022-03-01
2022,3, Mendoza ,51.03,Alta penetración,2022-03-01
2022,3, Misiones ,51.82,Alta penetración,2022-03-01
2022,3, Neuquén ,80.37,Alta penetración,2022-03-01
2022,3, Río Negro ,67.98,Alta penetración,2022-03-01
2022,3, Salta ,57.76,Alta penetración,2022-03-01
2022,3, San Juan ,50.8,Alta penetración,2022-03-01
2022,3, San Luis ,81.74,Alta penetración,2022-03-01
2022,3, Santa Cruz ,43.19,Baja penetración,2022-03-01
2022,3, Santa Fe ,78.55,Alta penetración,2022-03-01
2022,3, Santiago Del Estero ,47.98,Baja penetración,2022-03-01
2022,3, Tierra Del Fuego ,99.51,Alta penetración,2022-03-01
2022,3, Tucumán ,61.14,Alta penetración,2022-03-01
2022,2, Buenos Aires ,77.58,Alta penetración,2022-02-01
2022,2, Capital Federal ,121.31,Alta penetración,2022-02-01
2022,2, Catamarca ,62.4,Alta penetración,2022-02-01
2022,2, Chaco ,43.79,Baja penetración,2022-02-01
2022,2, Chubut ,83.19,Alta penetración,2022-02-01
2022,2, Córdoba ,87.48,Alta penetración,2022-02-01
2022,2, Corrientes ,48.35,Baja penetración,2022-02-01
2022,2, Entre Ríos ,63.9,Alta penetración,2022-02-01
2022,2, Formosa ,43.42,Baja penetración,2022-02-01
2022,2, Jujuy ,57.32,Alta penetración,2022-02-01
2022,2, La Pampa ,92.98,Alta penetración,2022-02-01
2022,2, La Rioja ,80.14,Alta penetración,2022-02-01
2022,2, Mendoza ,49.39,Baja penetración,2022-02-01
2022,2, Misiones ,51.0,Alta penetración,2022-02-01
2022,2, Neuquén ,80.02,Alta penetración,2022-02-01
2022,2, Río Negro ,67.85,Alta penetración,2022-02-01
2022,2, Salta ,57.54,Alta penetración,2022-02-01
2022,2, San Juan ,49.46,Baja penetración,2022-02-01
2022,2, San Luis ,81.76,Alta penetración,2022-02-01
2022,2, Santa Cruz ,43.15,Baja penetración,2022-02-01
2022,2, Santa Fe ,77.9,Alta penetración,2022-02-01
2022,2, Santiago Del Estero ,47.7,Baja penetración,2022-02-01
2022,2, Tierra Del Fuego ,99.86,Alta penetración,2022-02-01
2022,2, Tucumán ,59.31,Alta penetración,2022-02-01
2022,1, Buenos Aires ,76.08,Alta penetración,2022-01-01
2022,1, Capital Federal ,111.8,Alta penetración,2022-01-01
2022,1, Catamarca ,58.21,Alta penetración,2022-01-01
2022,1, Chaco ,44.06,Baja penetración,2022-01-01
2022,1, Chubut ,88.05,Alta penetración,2022-01-01
2022,1, Córdoba ,85.76,Alta penetración,2022-01-01
2022,1, Corrientes ,47.64,Baja penetración,2022-01-01
2022,1, Entre Ríos ,63.7,Alta penetración,2022-01-01
2022,1, Formosa ,34.96,Baja penetración,2022-01-01
2022,1, Jujuy ,58.06,Alta penetración,2022-01-01
2022,1, La Pampa ,91.66,Alta penetración,2022-01-01
2022,1, La Rioja ,78.77,Alta penetración,2022-01-01
2022,1, Mendoza ,48.74,Baja penetración,2022-01-01
2022,1, Misiones ,49.04,Baja penetración,2022-01-01
2022,1, Neuquén ,74.17,Alta penetración,2022-01-01
2022,1, Río Negro ,67.04,Alta penetración,2022-01-01
2022,1, Salta ,56.11,Alta penetración,2022-01-01
2022,1, San Juan ,43.55,Baja penetración,2022-01-01
2022,1, San Luis ,80.72,Alta penetración,2022-01-01
2022,1, Santa Cruz ,43.34,Baja penetración,2022-01-01
2022,1, Santa Fe ,77.3,Alta penetración,2022-01-01
2022,1, Santiago Del Estero ,47.17,Baja penetración,2022-01-01
2022,1, Tierra Del Fuego ,98.29,Alta penetración,2022-01-01
2022,1, Tucumán ,57.39,Alta penetración,2022-01-01
2021,4, Buenos Aires ,75.66,Alta penetración,2021-04-01
2021,4, Capital Federal ,111.27,Alta penetración,2021-04-01
2021,4, Catamarca ,55.25,Alta penetración,2021-04-01
2021,4, Chaco ,44.05,Baja penetración,2021-04-01
2021,4, Chubut ,82.57,Alta penetración,2021-04-01
2021,4, Córdoba ,84.51,Alta penetración,2021-04-01
2021,4, Corrientes ,45.51,Baja penetración,2021-04-01
2021,4, Entre Ríos ,63.16,Alta penetración,2021-04-01
2021,4, Formosa ,34.45,Baja penetración,2021-04-01
2021,4, Jujuy ,56.92,Alta penetración,2021-04-01
2021,4, La Pampa ,89.57,Alta penetración,2021-04-01
2021,4, La Rioja ,77.92,Alta penetración,2021-04-01
2021,4, Mendoza ,47.51,Baja penetración,2021-04-01
2021,4, Misiones ,49.06,Baja penetración,2021-04-01
2021,4, Neuquén ,73.3,Alta penetración,2021-04-01
2021,4, Río Negro ,65.69,Alta penetración,2021-04-01
2021,4, Salta ,56.81,Alta penetración,2021-04-01
2021,4, San Juan ,39.59,Baja penetración,2021-04-01
2021,4, San Luis ,80.3,Alta penetración,2021-04-01
2021,4, Santa Cruz ,43.05,Baja penetración,2021-04-01
2021,4, Santa Fe ,77.09,Alta penetración,2021-04-01
2021,4, Santiago Del Estero ,47.05,Baja penetración,2021-04-01
2021,4, Tierra Del Fuego ,98.4,Alta penetración,2021-04-01
2021,4, Tucumán ,55.93,Alta penetración,2021-04-01
2021,3, Buenos Aires ,71.68,Alta penetración,2021-03-01
2021,3, Capital Federal ,111.27,Alta penetración,2021-03-01
2021,3, Catamarca ,52.71,Alta penetración,2021-03-01
2021,3, Chaco ,42.96,Baja penetración,2021-03-01
2021,3, Chubut ,80.71,Alta penetración,2021-03-01
2021,3, Córdoba ,81.28,Alta penetración,2021-03-01
2021,3, Corrientes ,44.9,Baja penetración,2021-03-01
2021,3, Entre Ríos ,62.18,Alta penetración,2021-03-01
2021,3, Formosa ,33.96,Baja penetración,2021-03-01
2021,3, Jujuy ,55.69,Alta penetración,2021-03-01
2021,3, La Pampa ,84.28,Alta penetración,2021-03-01
2021,3, La Rioja ,77.26,Alta penetración,2021-03-01
2021,3, Mendoza ,45.55,Baja penetración,2021-03-01
2021,3, Misiones ,45.57,Baja penetración,2021-03-01
2021,3, Neuquén ,69.71,Alta penetración,2021-03-01
2021,3, Río Negro ,61.97,Alta penetración,2021-03-01
2021,3, Salta ,55.96,Alta penetración,2021-03-01
2021,3, San Juan ,39.46,Baja penetración,2021-03-01
2021,3, San Luis ,79.87,Alta penetración,2021-03-01
2021,3, Santa Cruz ,43.75,Baja penetración,2021-03-01
2021,3, Santa Fe ,75.02,Alta penetración,2021-03-01
2021,3, Santiago Del Estero ,47.0,Baja penetración,2021-03-01
2021,3, Tierra Del Fuego ,94.95,Alta penetración,2021-03-01
2021,3, Tucumán ,54.64,Alta penetración,2021-03-01
2021,2, Buenos Aires ,70.0,Alta penetración,2021-02-01
2021,2, Capital Federal ,110.14,Alta penetración,2021-02-01
2021,2, Catamarca ,52.34,Alta penetración,2021-02-01
2021,2, Chaco ,43.33,Baja penetración,2021-02-01
2021,2, Chubut ,72.29,Alta penetración,2021-02-01
2021,2, Córdoba ,80.12,Alta penetración,2021-02-01
2021,2, Corrientes ,43.54,Baja penetración,2021-02-01
2021,2, Entre Ríos ,61.66,Alta penetración,2021-02-01
2021,2, Formosa ,33.23,Baja penetración,2021-02-01
2021,2, Jujuy ,56.18,Alta penetración,2021-02-01
2021,2, La Pampa ,82.08,Alta penetración,2021-02-01
2021,2, La Rioja ,76.98,Alta penetración,2021-02-01
2021,2, Mendoza ,40.97,Baja penetración,2021-02-01
2021,2, Misiones ,45.01,Baja penetración,2021-02-01
2021,2, Neuquén ,69.14,Alta penetración,2021-02-01
2021,2, Río Negro ,61.94,Alta penetración,2021-02-01
2021,2, Salta ,54.93,Alta penetración,2021-02-01
2021,2, San Juan ,39.28,Baja penetración,2021-02-01
2021,2, San Luis ,83.48,Alta penetración,2021-02-01
2021,2, Santa Cruz ,44.01,Baja penetración,2021-02-01
2021,2, Santa Fe ,75.07,Alta penetración,2021-02-01
2021,2, Santiago Del Estero ,46.56,Baja penetración,2021-02-01
2021,2, Tierra Del Fuego ,67.89,Alta penetración,2021-02-01
2021,2, Tucumán ,54.93,Alta penetración,2021-02-01
2021,1, Buenos Aires ,69.11,Alta penetración,2021-01-01
2021,1, Capital Federal ,108.42,Alta penetración,2021-01-01
2021,1, Catamarca ,48.9,Baja penetración,2021-01-01
2021,1, Chaco ,43.14,Baja penetración,2021-01-01
2021,1, Chubut ,68.99,Alta penetración,2021-01-01
2021,1, Córdoba ,78.59,Alta penetración,2021-01-01
2021,1, Corrientes ,42.66,Baja penetración,2021-01-01
2021,1, Entre Ríos ,60.44,Alta penetración,2021-01-01
2021,1, Formosa ,32.73,Baja penetración,2021-01-01
2021,1, Jujuy ,55.63,Alta penetración,2021-01-01
2021,1, La Pampa ,81.78,Alta penetración,2021-01-01
2021,1, La Rioja ,49.81,Baja penetración,2021-01-01
2021,1, Mendoza ,39.15,Baja penetración,2021-01-01
